teacherID,hours,instanceID,isReported,isAssigned
19610620-0006,260,I-83,FALSE,TRUE
19780602-0035,140,I-83,FALSE,TRUE
19911025-0091,120,I-83,FALSE,TRUE
19660630-0020,260,I-84,FALSE,TRUE
19750122-0056,100,I-84,FALSE,TRUE
19560705-0025,260,I-85,FALSE,TRUE
19790702-0038,140,I-85,FALSE,TRUE
19910927-0128,120,I-85,FALSE,TRUE
19570615-0011,240,I-86,FALSE,TRUE
19780815-0047,140,I-86,FALSE,TRUE
19610918-0027,280,I-87,FALSE,TRUE
19780424-0057,120,I-87,FALSE,TRUE
19600905-0003,280,I-88,FALSE,TRUE
19751018-0039,120,I-88,FALSE,TRUE
19931231-0099,140,I-88,FALSE,TRUE
19620522-0023,260,I-89,FALSE,TRUE
19761024-0034,120,I-89,FALSE,TRUE
19930829-0082,120,I-89,FALSE,TRUE
19620831-0024,280,I-90,FALSE,TRUE
19780815-0047,140,I-90,FALSE,TRUE
19910206-0081,120,I-90,FALSE,TRUE
19680712-0028,240,I-91,FALSE,TRUE
19780424-0057,100,I-91,FALSE,TRUE
19900520-0063,120,I-91,FALSE,TRUE
19640220-0029,260,I-92,FALSE,TRUE
19781217-0053,120,I-92,FALSE,TRUE
19580515-0017,260,I-93,FALSE,TRUE
19761020-0044,100,I-93,FALSE,TRUE
19630126-0001,280,I-94,FALSE,TRUE
19790708-0041,120,I-94,FALSE,TRUE
19900317-0083,140,I-94,FALSE,TRUE
19690513-0015,240,I-95,FALSE,TRUE
19751018-0039,140,I-95,FALSE,TRUE
19901002-0085,100,I-95,FALSE,TRUE
19560812-0016,260,I-96,FALSE,TRUE
19780317-0052,140,I-96,FALSE,TRUE
19900317-0083,140,I-96,FALSE,TRUE
19640414-0013,280,I-97,FALSE,TRUE
19750906-0032,120,I-97,FALSE,TRUE
19930508-0061,100,I-97,FALSE,TRUE
19650303-0019,240,I-98,FALSE,TRUE
19750417-0051,100,I-98,FALSE,TRUE
19580218-0007,280,I-99,FALSE,TRUE
19750906-0032,140,I-99,FALSE,TRUE
19680712-0028,240,I-100,FALSE,TRUE
19750331-0036,100,I-100,FALSE,TRUE
19580218-0007,280,I-101,FALSE,TRUE
19780602-0035,120,I-101,FALSE,TRUE
19930326-0132,120,I-101,FALSE,TRUE
19570615-0011,240,I-102,FALSE,TRUE
19770713-0042,100,I-102,FALSE,TRUE
19650303-0019,260,I-103,FALSE,TRUE
19760108-0050,120,I-103,FALSE,TRUE
19930919-0137,100,I-103,FALSE,TRUE
19650303-0019,280,I-104,FALSE,TRUE
19751018-0039,140,I-104,FALSE,TRUE
19921218-0101,120,I-104,FALSE,TRUE
19650303-0019,260,I-105,FALSE,TRUE
19761009-0055,120,I-105,FALSE,TRUE
19610918-0027,280,I-106,FALSE,TRUE
19790426-0049,100,I-106,FALSE,TRUE
19920122-0065,100,I-106,FALSE,TRUE
19600529-0021,260,I-107,FALSE,TRUE
19750331-0036,120,I-107,FALSE,TRUE
19590129-0004,240,I-108,FALSE,TRUE
19761009-0055,100,I-108,FALSE,TRUE
19570826-0012,260,I-109,FALSE,TRUE
19790717-0045,140,I-109,FALSE,TRUE
19570828-0008,260,I-110,FALSE,TRUE
19750417-0051,140,I-110,FALSE,TRUE
19920122-0065,100,I-110,FALSE,TRUE
19600529-0021,280,I-111,FALSE,TRUE
19750512-0043,140,I-111,FALSE,TRUE
19900616-0124,120,I-111,FALSE,TRUE
19561222-0030,260,I-112,FALSE,TRUE
19750417-0051,140,I-112,FALSE,TRUE
19910404-0102,140,I-112,FALSE,TRUE
19690917-0022,260,I-113,FALSE,TRUE
19760524-0046,100,I-113,FALSE,TRUE
19620522-0023,260,I-114,FALSE,TRUE
19760524-0046,140,I-114,FALSE,TRUE
19640414-0013,260,I-115,FALSE,TRUE
19770224-0058,120,I-115,FALSE,TRUE
19900511-0134,120,I-115,FALSE,TRUE
19560812-0016,260,I-116,FALSE,TRUE
19781217-0053,120,I-116,FALSE,TRUE
19601021-0018,280,I-117,FALSE,TRUE
19781217-0053,100,I-117,FALSE,TRUE
19921127-0120,100,I-117,FALSE,TRUE
19611219-0014,280,I-118,FALSE,TRUE
19790426-0049,100,I-118,FALSE,TRUE
19921123-0108,120,I-118,FALSE,TRUE
19610623-0005,260,I-119,FALSE,TRUE
19780317-0052,100,I-119,FALSE,TRUE
19930919-0137,140,I-119,FALSE,TRUE
19690513-0015,240,I-120,FALSE,TRUE
19781217-0053,100,I-120,FALSE,TRUE
19640220-0029,280,I-121,FALSE,TRUE
19780317-0052,120,I-121,FALSE,TRUE
19920826-0088,120,I-121,FALSE,TRUE
19690917-0022,260,I-122,FALSE,TRUE
19790702-0038,140,I-122,FALSE,TRUE
19920316-0107,120,I-122,FALSE,TRUE
19660630-0020,260,I-123,FALSE,TRUE
19790702-0038,140,I-123,FALSE,TRUE
19580218-0007,280,I-124,FALSE,TRUE
19760524-0046,140,I-124,FALSE,TRUE
19930228-0086,100,I-124,FALSE,TRUE
19561222-0030,240,I-125,FALSE,TRUE
19750906-0032,100,I-125,FALSE,TRUE
19921208-0097,140,I-125,FALSE,TRUE
19570828-0008,260,I-126,FALSE,TRUE
19781130-0054,140,I-126,FALSE,TRUE
19900128-0095,120,I-126,FALSE,TRUE
19590129-0004,240,I-127,FALSE,TRUE
19761020-0044,100,I-127,FALSE,TRUE
19570826-0012,280,I-128,FALSE,TRUE
19780424-0057,140,I-128,FALSE,TRUE
19901219-0125,120,I-128,FALSE,TRUE
19560812-0016,280,I-129,FALSE,TRUE
19770713-0042,100,I-129,FALSE,TRUE
19931118-0062,120,I-129,FALSE,TRUE
19610623-0005,260,I-130,FALSE,TRUE
19790618-0048,120,I-130,FALSE,TRUE
19640414-0013,280,I-131,FALSE,TRUE
19790708-0041,100,I-131,FALSE,TRUE
19921208-0097,140,I-131,FALSE,TRUE
19560812-0016,260,I-132,FALSE,TRUE
19770713-0042,120,I-132,FALSE,TRUE
19910514-0068,100,I-132,FALSE,TRUE
19570826-0012,240,I-133,FALSE,TRUE
19760108-0050,140,I-133,FALSE,TRUE
19930228-0086,140,I-133,FALSE,TRUE
19650303-0019,260,I-134,FALSE,TRUE
19771013-0040,100,I-134,FALSE,TRUE
19910822-0122,120,I-134,FALSE,TRUE
19690513-0015,240,I-135,FALSE,TRUE
19780317-0052,120,I-135,FALSE,TRUE
19900723-0126,100,I-135,FALSE,TRUE
19650303-0019,260,I-136,FALSE,TRUE
19750417-0051,100,I-136,FALSE,TRUE
19690917-0022,260,I-137,FALSE,TRUE
19781130-0054,140,I-137,FALSE,TRUE
19610623-0005,280,I-138,FALSE,TRUE
19760108-0050,100,I-138,FALSE,TRUE
19560812-0016,280,I-139,FALSE,TRUE
19780602-0035,100,I-139,FALSE,TRUE
19560812-0016,240,I-140,FALSE,TRUE
19780317-0052,100,I-140,FALSE,TRUE
19640414-0013,240,I-141,FALSE,TRUE
19750331-0036,100,I-141,FALSE,TRUE
19931226-0118,100,I-141,FALSE,TRUE
19590129-0004,240,I-142,FALSE,TRUE
19760108-0050,100,I-142,FALSE,TRUE
19650303-0019,240,I-143,FALSE,TRUE
19750906-0032,100,I-143,FALSE,TRUE
19660630-0020,280,I-144,FALSE,TRUE
19750705-0033,100,I-144,FALSE,TRUE
19600529-0021,240,I-145,FALSE,TRUE
19750906-0032,100,I-145,FALSE,TRUE
19580218-0007,260,I-146,FALSE,TRUE
19780424-0057,100,I-146,FALSE,TRUE
19560812-0016,240,I-147,FALSE,TRUE
19750331-0036,100,I-147,FALSE,TRUE
19920226-0075,140,I-147,FALSE,TRUE
19640414-0013,280,I-148,FALSE,TRUE
19790426-0049,140,I-148,FALSE,TRUE
19910514-0068,140,I-148,FALSE,TRUE
19610623-0005,280,I-149,FALSE,TRUE
19750512-0043,140,I-149,FALSE,TRUE
19561222-0030,260,I-150,FALSE,TRUE
19750122-0056,100,I-150,FALSE,TRUE
19680712-0028,260,I-151,FALSE,TRUE
19751018-0039,100,I-151,FALSE,TRUE
19611219-0014,280,I-152,FALSE,TRUE
19780317-0052,120,I-152,FALSE,TRUE
19920504-0093,120,I-152,FALSE,TRUE
19580515-0017,260,I-153,FALSE,TRUE
19750705-0033,140,I-153,FALSE,TRUE
19610620-0006,260,I-154,FALSE,TRUE
19761009-0055,100,I-154,FALSE,TRUE
19910101-0133,140,I-154,FALSE,TRUE
19570826-0012,280,I-155,FALSE,TRUE
19790702-0038,140,I-155,FALSE,TRUE
19910927-0128,140,I-155,FALSE,TRUE
19600814-0002,260,I-156,FALSE,TRUE
19761024-0034,100,I-156,FALSE,TRUE
19910421-0067,140,I-156,FALSE,TRUE
19560612-0010,280,I-157,FALSE,TRUE
19750417-0051,120,I-157,FALSE,TRUE
19570615-0011,240,I-158,FALSE,TRUE
19750906-0032,140,I-158,FALSE,TRUE
19580218-0007,260,I-159,FALSE,TRUE
19790618-0048,140,I-159,FALSE,TRUE
19931203-0066,120,I-159,FALSE,TRUE
19570615-0011,240,I-160,FALSE,TRUE
19750122-0056,140,I-160,FALSE,TRUE
19570826-0012,280,I-161,FALSE,TRUE
19760524-0046,100,I-161,FALSE,TRUE
19900701-0138,140,I-161,FALSE,TRUE
19640414-0013,240,I-162,FALSE,TRUE
19750906-0032,140,I-162,FALSE,TRUE
19561222-0030,280,I-163,FALSE,TRUE
19781217-0053,100,I-163,FALSE,TRUE
19600814-0002,280,I-164,FALSE,TRUE
19750102-0059,100,I-164,FALSE,TRUE
19650303-0019,240,I-165,FALSE,TRUE
19750705-0033,120,I-165,FALSE,TRUE
19900317-0083,120,I-165,FALSE,TRUE
19610918-0027,240,I-166,FALSE,TRUE
19751018-0039,120,I-166,FALSE,TRUE
19580515-0017,260,I-167,FALSE,TRUE
19770713-0042,140,I-167,FALSE,TRUE
19920602-0073,100,I-167,FALSE,TRUE
19570828-0008,280,I-168,FALSE,TRUE
19750722-0060,120,I-168,FALSE,TRUE
19640414-0013,260,I-169,FALSE,TRUE
19771013-0040,100,I-169,FALSE,TRUE
19610918-0027,280,I-170,FALSE,TRUE
19780317-0052,120,I-170,FALSE,TRUE
19910206-0081,120,I-170,FALSE,TRUE
19690917-0022,280,I-171,FALSE,TRUE
19771013-0040,120,I-171,FALSE,TRUE
19900616-0124,140,I-171,FALSE,TRUE
19580218-0007,280,I-172,FALSE,TRUE
19780602-0035,120,I-172,FALSE,TRUE
19900430-0112,100,I-172,FALSE,TRUE
19680712-0028,280,I-173,FALSE,TRUE
19781125-0031,140,I-173,FALSE,TRUE
19620831-0024,260,I-174,FALSE,TRUE
19790426-0049,120,I-174,FALSE,TRUE
19921002-0129,120,I-174,FALSE,TRUE
19611219-0014,280,I-175,FALSE,TRUE
19750512-0043,100,I-175,FALSE,TRUE
19900723-0126,120,I-175,FALSE,TRUE
19580515-0017,260,I-176,FALSE,TRUE
19781217-0053,140,I-176,FALSE,TRUE
19660630-0020,260,I-177,FALSE,TRUE
19760108-0050,140,I-177,FALSE,TRUE
19570826-0012,280,I-178,FALSE,TRUE
19750705-0033,120,I-178,FALSE,TRUE
19630126-0001,260,I-179,FALSE,TRUE
19790618-0048,100,I-179,FALSE,TRUE
19921208-0097,140,I-179,FALSE,TRUE
19690513-0015,240,I-180,FALSE,TRUE
19750512-0043,120,I-180,FALSE,TRUE
19920226-0075,100,I-180,FALSE,TRUE
19580515-0017,280,I-181,FALSE,TRUE
19750122-0056,100,I-181,FALSE,TRUE
19920505-0115,120,I-181,FALSE,TRUE
19640220-0029,240,I-182,FALSE,TRUE
19761009-0055,100,I-182,FALSE,TRUE
19921002-0129,100,I-182,FALSE,TRUE
19570615-0011,240,I-183,FALSE,TRUE
19780424-0057,100,I-183,FALSE,TRUE
19660630-0020,280,I-184,FALSE,TRUE
19790708-0041,120,I-184,FALSE,TRUE
19910101-0133,100,I-184,FALSE,TRUE
19690513-0015,240,I-185,FALSE,TRUE
19750417-0051,140,I-185,FALSE,TRUE
19610918-0027,280,I-186,FALSE,TRUE
19781125-0031,100,I-186,FALSE,TRUE
19560705-0025,280,I-187,FALSE,TRUE
19750220-0037,100,I-187,FALSE,TRUE
19931118-0062,120,I-187,FALSE,TRUE
19690917-0022,240,I-188,FALSE,TRUE
19780602-0035,120,I-188,FALSE,TRUE
19900619-0076,100,I-188,FALSE,TRUE
19600905-0003,240,I-189,FALSE,TRUE
19750122-0056,140,I-189,FALSE,TRUE
19910327-0096,140,I-189,FALSE,TRUE
19610623-0005,280,I-190,FALSE,TRUE
19760524-0046,140,I-190,FALSE,TRUE
19900902-0114,140,I-190,FALSE,TRUE
19690917-0022,240,I-191,FALSE,TRUE
19780317-0052,120,I-191,FALSE,TRUE
19560705-0025,260,I-192,FALSE,TRUE
19750122-0056,120,I-192,FALSE,TRUE
19920206-0072,120,I-192,FALSE,TRUE
19600905-0003,280,I-193,FALSE,TRUE
19761020-0044,100,I-193,FALSE,TRUE
19601021-0018,280,I-194,FALSE,TRUE
19790426-0049,100,I-194,FALSE,TRUE
19900128-0095,100,I-194,FALSE,TRUE
19620424-0026,280,I-195,FALSE,TRUE
19790717-0045,120,I-195,FALSE,TRUE
19580218-0007,280,I-196,FALSE,TRUE
19780815-0047,120,I-196,FALSE,TRUE
19930829-0082,120,I-196,FALSE,TRUE
19590129-0004,280,I-197,FALSE,TRUE
19750331-0036,100,I-197,FALSE,TRUE
19610623-0005,260,I-198,FALSE,TRUE
19750220-0037,100,I-198,FALSE,TRUE
19930829-0082,140,I-198,FALSE,TRUE
19560612-0010,280,I-199,FALSE,TRUE
19790702-0038,120,I-199,FALSE,TRUE
19630126-0001,240,I-200,FALSE,TRUE
19781125-0031,120,I-200,FALSE,TRUE
19901029-0071,140,I-200,FALSE,TRUE
19690513-0015,260,I-201,FALSE,TRUE
19790717-0045,120,I-201,FALSE,TRUE
19930221-0139,120,I-201,FALSE,TRUE
19690513-0015,280,I-202,FALSE,TRUE
19790717-0045,120,I-202,FALSE,TRUE
19611219-0014,240,I-203,FALSE,TRUE
19780815-0047,120,I-203,FALSE,TRUE
19610620-0006,240,I-204,FALSE,TRUE
19790426-0049,140,I-204,FALSE,TRUE
19600814-0002,280,I-205,FALSE,TRUE
19750220-0037,120,I-205,FALSE,TRUE
19580515-0017,280,I-206,FALSE,TRUE
19780602-0035,140,I-206,FALSE,TRUE
19900321-0080,120,I-206,FALSE,TRUE
19590129-0004,240,I-207,FALSE,TRUE
19771013-0040,140,I-207,FALSE,TRUE
19680712-0028,240,I-208,FALSE,TRUE
19750722-0060,100,I-208,FALSE,TRUE
19590129-0004,280,I-209,FALSE,TRUE
19750512-0043,140,I-209,FALSE,TRUE
19570615-0011,280,I-210,FALSE,TRUE
19770224-0058,120,I-210,FALSE,TRUE
19930906-0110,120,I-210,FALSE,TRUE
19690513-0015,260,I-211,FALSE,TRUE
19780317-0052,100,I-211,FALSE,TRUE
19900616-0124,120,I-211,FALSE,TRUE
19630126-0001,240,I-212,FALSE,TRUE
19761020-0044,100,I-212,FALSE,TRUE
19570828-0008,240,I-213,FALSE,TRUE
19780317-0052,100,I-213,FALSE,TRUE
19580515-0017,280,I-214,FALSE,TRUE
19790708-0041,140,I-214,FALSE,TRUE
19930326-0132,100,I-214,FALSE,TRUE
19630126-0001,280,I-215,FALSE,TRUE
19780317-0052,140,I-215,FALSE,TRUE
19911116-0069,100,I-215,FALSE,TRUE
19610623-0005,280,I-216,FALSE,TRUE
19750331-0036,100,I-216,FALSE,TRUE
19920226-0075,140,I-216,FALSE,TRUE
19580218-0007,280,I-217,FALSE,TRUE
19781130-0054,100,I-217,FALSE,TRUE
19650303-0019,260,I-218,FALSE,TRUE
19790426-0049,140,I-218,FALSE,TRUE
19900616-0124,100,I-218,FALSE,TRUE
19561222-0030,240,I-219,FALSE,TRUE
19750512-0043,100,I-219,FALSE,TRUE
19610918-0027,260,I-220,FALSE,TRUE
19751018-0039,120,I-220,FALSE,TRUE
19920122-0065,100,I-220,FALSE,TRUE
19610620-0006,280,I-221,FALSE,TRUE
19750722-0060,140,I-221,FALSE,TRUE
19580515-0017,260,I-222,FALSE,TRUE
19750705-0033,120,I-222,FALSE,TRUE
19640220-0029,280,I-223,FALSE,TRUE
19790426-0049,120,I-223,FALSE,TRUE
19690408-0009,260,I-224,FALSE,TRUE
19790426-0049,140,I-224,FALSE,TRUE
19690408-0009,260,I-225,FALSE,TRUE
19790702-0038,120,I-225,FALSE,TRUE
19900128-0095,140,I-225,FALSE,TRUE
19580515-0017,280,I-226,FALSE,TRUE
19750512-0043,140,I-226,FALSE,TRUE
19560812-0016,240,I-227,FALSE,TRUE
19771013-0040,100,I-227,FALSE,TRUE
19560812-0016,280,I-228,FALSE,TRUE
19790708-0041,100,I-228,FALSE,TRUE
19900511-0134,100,I-228,FALSE,TRUE
19611219-0014,280,I-229,FALSE,TRUE
19781217-0053,120,I-229,FALSE,TRUE
19921218-0101,100,I-229,FALSE,TRUE
19660630-0020,280,I-230,FALSE,TRUE
19790702-0038,120,I-230,FALSE,TRUE
19600814-0002,280,I-231,FALSE,TRUE
19770224-0058,100,I-231,FALSE,TRUE
19611219-0014,280,I-232,FALSE,TRUE
19760108-0050,120,I-232,FALSE,TRUE
19620831-0024,260,I-233,FALSE,TRUE
19760524-0046,100,I-233,FALSE,TRUE
19560705-0025,240,I-234,FALSE,TRUE
19750705-0033,140,I-234,FALSE,TRUE
19570826-0012,240,I-235,FALSE,TRUE
19790708-0041,140,I-235,FALSE,TRUE
19600529-0021,240,I-236,FALSE,TRUE
19780424-0057,140,I-236,FALSE,TRUE
19660630-0020,240,I-237,FALSE,TRUE
19750512-0043,100,I-237,FALSE,TRUE
19611219-0014,240,I-238,FALSE,TRUE
19750417-0051,140,I-238,FALSE,TRUE
19910122-0077,120,I-238,FALSE,TRUE
19600529-0021,280,I-239,FALSE,TRUE
19781130-0054,120,I-239,FALSE,TRUE
19600814-0002,280,I-240,FALSE,TRUE
19770224-0058,120,I-240,FALSE,TRUE
19900801-0130,100,I-240,FALSE,TRUE
19690917-0022,280,I-241,FALSE,TRUE
19760524-0046,120,I-241,FALSE,TRUE
19600905-0003,240,I-242,FALSE,TRUE
19780602-0035,120,I-242,FALSE,TRUE
19560705-0025,260,I-243,FALSE,TRUE
19780815-0047,120,I-243,FALSE,TRUE
19690917-0022,260,I-244,FALSE,TRUE
19790708-0041,120,I-244,FALSE,TRUE
19921201-0094,100,I-244,FALSE,TRUE
19580218-0007,280,I-245,FALSE,TRUE
19781125-0031,140,I-245,FALSE,TRUE
